En(eV)	Re[e11]	Im[e11]	Re[e12]	Im[e12]	Re[e13]	Im[e13]	Re[e22]	Im[e22]	Re[e23]	Im[e23]	Re[e33]	Im[e33]
4.13862 2.10651 0.00993085 -1.11119e-07 1.26183e-08 0 0 -0.212263 0.776927 0.183083 -0.0615124 2.0855 0.00487018
4.14862 2.10704 0.0110124 -1.08702e-07 1.20986e-08 0 0 -0.205716 0.692613 0.182564 -0.0548373 2.08554 0.00434171
4.15862 2.10733 0.0125589 -1.06383e-07 1.16102e-08 0 0 -0.175511 0.61087 0.180172 -0.0483656 2.08573 0.00382935
4.16862 2.10716 0.0145547 -1.04154e-07 1.11506e-08 0 0 -0.129493 0.539328 0.176528 -0.0427017 2.08602 0.00338094
4.17862 2.10623 0.0168548 -1.0201e-07 1.07176e-08 0 0 -0.0749126 0.47994 0.172206 -0.038 2.08636 0.00300871
4.18862 2.10426 0.0190781 -9.9948e-08 1.03091e-08 0 0 -0.0167867 0.431916 0.167604 -0.034198 2.08673 0.00270771
4.19862 2.10125 0.0206009 -9.79621e-08 9.92346e-09 0 0 0.0418675 0.393621 0.162959 -0.0311662 2.0871 0.00246769
4.20862 2.0977 0.0208365 -9.60484e-08 9.55889e-09 0 0 0.0993669 0.363446 0.158407 -0.0287774 2.08746 0.00227858
4.21862 2.09444 0.019685 -9.42033e-08 9.21391e-09 0 0 0.154781 0.340118 0.154019 -0.0269307 2.08781 0.00213239
4.22862 2.09209 0.0176253 -9.2423e-08 8.88716e-09 0 0 0.207515 0.32274 0.149844 -0.0255552 2.08814 0.00202351
4.23862 2.0908 0.0153187 -9.07044e-08 8.57737e-09 0 0 0.257007 0.310728 0.145925 -0.0246044 2.08845 0.00194826
4.24862 2.09033 0.0132348 -8.90442e-08 8.2834e-09 0 0 0.302479 0.303643 0.142324 -0.024044 2.08873 0.00190393
4.25863 2.09036 0.0115793 -8.74397e-08 8.00418e-09 0 0 0.342754 0.30088 0.139136 -0.0238258 2.08898 0.00188669
4.26863 2.09061 0.0103802 -8.5888e-08 7.73875e-09 0 0 0.376301 0.301111 0.13648 -0.0238447 2.08919 0.00188823
4.27863 2.09086 0.00956733 -8.43866e-08 7.48622e-09 0 0 0.401892 0.301681 0.134454 -0.0238903 2.08935 0.00189188
4.28863 2.09096 0.00900369 -8.29333e-08 7.24577e-09 0 0 0.420028 0.298723 0.133019 -0.0236564 2.08947 0.00187339
4.29863 2.09085 0.00850502 -8.15256e-08 7.01664e-09 0 0 0.434034 0.288989 0.13191 -0.0228857 2.08956 0.00181237
4.30863 2.0906 0.00790085 -8.01616e-08 6.79814e-09 0 0 0.448765 0.272279 0.130745 -0.0215624 2.08965 0.00170757
4.31863 2.09038 0.00712753 -7.88392e-08 6.58961e-09 0 0 0.46758 0.251469 0.129256 -0.0199142 2.08977 0.00157703
4.32863 2.0903 0.00624999 -7.75566e-08 6.39046e-09 0 0 0.490993 0.230072 0.127402 -0.0182196 2.08991 0.00144282
4.33863 2.09041 0.00538093 -7.6312e-08 6.20014e-09 0 0 0.51774 0.210365 0.125284 -0.0166587 2.09008 0.00131919
4.34863 2.09067 0.00460036 -7.51038e-08 6.01814e-09 0 0 0.546235 0.193203 0.123028 -0.0152994 2.09026 0.00121153
4.35863 2.09101 0.003938 -7.39305e-08 5.84398e-09 0 0 0.575254 0.178594 0.12073 -0.0141424 2.09044 0.0011199
4.36863 2.09139 0.00339112 -7.27905e-08 5.67721e-09 0 0 0.604028 0.166211 0.118452 -0.0131616 2.09062 0.00104222
4.37863 2.09177 0.0029437 -7.16826e-08 5.51743e-09 0 0 0.632132 0.155656 0.116227 -0.0123257 2.0908 0.000976018
4.38863 2.09214 0.00257728 -7.06052e-08 5.36424e-09 0 0 0.659362 0.14657 0.114071 -0.0116061 2.09097 0.000919031
4.39863 2.0925 0.00227534 -6.95573e-08 5.2173e-09 0 0 0.685634 0.13866 0.11199 -0.0109797 2.09113 0.00086942
4.40863 2.09283 0.00202442 -6.85377e-08 5.07627e-09 0 0 0.710936 0.131695 0.109987 -0.0104282 2.09129 0.000825742
4.41863 2.09314 0.00181394 -6.75452e-08 4.94083e-09 0 0 0.73529 0.125499 0.108058 -0.00993744 2.09144 0.000786882
4.42863 2.09343 0.00163574 -6.65787e-08 4.8107e-09 0 0 0.758737 0.119933 0.106202 -0.00949669 2.09159 0.000751978
4.43863 2.0937 0.00148353 -6.56374e-08 4.6856e-09 0 0 0.781321 0.114893 0.104414 -0.00909752 2.09173 0.000720368
4.44863 2.09394 0.00135244 -6.47202e-08 4.56528e-09 0 0 0.803092 0.110294 0.10269 -0.00873334 2.09187 0.000691529
4.45863 2.09417 0.00123868 -6.38262e-08 4.44949e-09 0 0 0.824097 0.106071 0.101026 -0.00839898 2.092 0.000665051
4.46863 2.09439 0.00113925 -6.29545e-08 4.33802e-09 0 0 0.844382 0.102173 0.0994202 -0.00809026 2.09213 0.000640605
4.47863 2.09459 0.00105181 -6.21044e-08 4.23065e-09 0 0 0.863987 0.0985559 0.0978679 -0.00780386 2.09225 0.000617925
4.48863 2.09477 0.000974438 -6.1275e-08 4.12717e-09 0 0 0.882953 0.0951861 0.0963661 -0.00753701 2.09237 0.000596795
4.49863 2.09495 0.000905624 -6.04657e-08 4.02742e-09 0 0 0.901314 0.0920348 0.0949122 -0.00728747 2.09248 0.000577035
